__domain,feature,mean,std,median
news_wsj_100,root_aux_var,1.10273,0.31919199931113956,1.0325
news_wsj_100,root_cconj_var,0.76168,0.3224737677844368,0.707
news_wsj_100,root_det_var,1.0751600000000001,0.3016575662447857,1.084
news_wsj_100,root_intj_var,0.10196,0.3618120478643545,0.0
news_wsj_100,root_noun_var,5.71462,2.496484735775406,5.038
news_wsj_100,root_num_var,2.97978,1.3948409893082958,2.739
news_wsj_100,root_part_var,0.7883199999999999,0.3512237158647728,0.753
news_wsj_100,root_pron_var,1.5063300000000002,0.5638694607689609,1.5
news_wsj_100,root_propn_var,4.1339999999999995,1.7897133115037551,3.816
news_wsj_100,root_punct_var,0.81039,0.26222936582890616,0.7475
news_wsj_100,root_sconj_var,0.96527,0.7286020356570769,1.033
news_wsj_100,root_sym_var,0.47216,0.4008041845383282,0.447
news_wsj_100,root_verb_var,4.68032,2.2756597128940195,4.3245000000000005
news_wsj_100,root_space_var,0.0,0.0,0.0
news_wsj_100,corr_adj_var,2.86897,1.3390230001947334,2.7135
news_wsj_100,corr_adp_var,1.3586600000000002,0.2981448437903762,1.357
news_wsj_100,corr_adv_var,1.86826,1.1982610853594755,1.732
news_wsj_100,corr_aux_var,0.77976,0.22569037161204691,0.73
news_wsj_100,corr_cconj_var,0.53856,0.22798193796966482,0.5
news_wsj_100,corr_det_var,0.76024,0.21331686110648457,0.7665
news_wsj_100,corr_intj_var,0.0721,0.2558661068732329,0.0
news_wsj_100,corr_noun_var,4.040830000000001,1.76529874459729,3.5625
news_wsj_100,corr_num_var,2.10699,0.9862991278491325,1.9365
news_wsj_100,corr_part_var,0.55741,0.24833014417313595,0.5325
news_wsj_100,corr_pron_var,1.06516,0.39874342323824924,1.061
news_wsj_100,corr_propn_var,2.92315,1.2655520724094278,2.698
news_wsj_100,corr_punct_var,0.57304,0.18539376167683438,0.5285
news_wsj_100,corr_sconj_var,0.68257,0.5152249534196326,0.7304999999999999
news_wsj_100,corr_sym_var,0.33387,0.2833862929114621,0.316
news_wsj_100,corr_verb_var,3.3094799999999998,1.6090466433904458,3.0575
news_wsj_100,corr_space_var,0.0,0.0,0.0
news_wsj_100,t_word,554.47,529.195281116107,299.0
news_wsj_100,t_stopword,204.43,212.0725650061385,115.0
news_wsj_100,t_punct,75.12,75.8326546756179,43.0
news_wsj_100,t_uword,226.38,175.06690092070463,160.5
news_wsj_100,t_sent,21.66,21.27891734163943,12.5
news_wsj_100,t_char,2407.33,2266.6714708282416,1308.0
